Strike,DaysToMaturity,Bid,Ask,ImpliedVolatility,iv_zscore
385,15,4.8,5.2,0.1933754119247179,1.4932735761926272
390,15,4.81,5.19,0.1896099798259524,1.2925414283874053
400,15,4.82,5.18,0.182449485998792,0.9108212784627328
405,15,4.82,5.18,0.1790544242703969,0.7298332763432719
410,15,4.83,5.17,0.1757828193321253,0.5554266561190673
415,15,4.84,5.16,0.1726346711839771,0.3876014177901115
420,15,4.84,5.16,0.1696099798259524,0.22635756135641188
430,15,4.85,5.15,0.1639309674802734,-0.07638600582522899
435,15,4.86,5.14,0.1612766464926191,-0.21788571657316733
440,15,4.86,5.14,0.1587457822950883,-0.3528040454258524
445,15,4.87,5.13,0.1563383748876808,-0.4811409923832916
450,15,4.88,5.12,0.1540544242703969,-0.6028965574454702
460,15,4.86,5.14,0.1498568934061994,-0.826663541884072
465,15,4.86,5.14,0.1479433131592858,-0.9286749612604952
475,15,4.85,5.15,0.144486523035829,-1.1129536543275804
480,15,4.84,5.16,0.1429433131592858,-1.195220928018244
485,15,4.84,5.16,0.141523560072866,-1.2709068198136557
490,15,4.83,5.17,0.1402272637765697,-1.340011329713814
495,15,4.82,5.18,0.1390544242703969,-1.4025344577187149
500,15,4.82,5.18,0.1380050415543475,-1.4584762038283667
510,15,4.81,5.19,0.1362766464926191,-1.5506155503619095
515,15,4.8,5.2,0.1355976341469401,-1.5868131507858017
520,15,4.8,5.2,0.1350420785913845,-1.616429369314442
380,30,4.8,5.2,0.1989436983340198,1.7901144330229075
385,30,4.8,5.2,0.1950548094451309,1.5828009033224366
390,30,4.81,5.19,0.1912893773463655,1.3820687555172204
395,30,4.81,5.19,0.1876474020377235,1.1879179896072545
400,30,4.82,5.18,0.184128883519205,1.0003486055925435
405,30,4.82,5.18,0.1807338217908099,0.8193606034730826
410,30,4.83,5.17,0.1774622168525383,0.6449539832488764
415,30,4.84,5.16,0.1743140687043901,0.4771287449199207
420,30,4.84,5.16,0.1712893773463654,0.3158848884862211
425,30,4.85,5.15,0.1683881427784642,0.16122241394777623
430,30,4.85,5.15,0.1656103650006865,0.013141321304586123
440,30,4.86,5.14,0.1604251798155013,-0.2632767182960417
445,30,4.87,5.13,0.1580177724080938,-0.39161366525348096
450,30,4.88,5.12,0.1557338217908099,-0.5133692303156595
465,30,4.86,5.14,0.1496227106796988,-0.839147634130686
470,30,4.85,5.15,0.1478325872229087,-0.9345776716118531
475,30,4.85,5.15,0.146165920556242,-1.0234263271977713
485,30,4.84,5.16,0.143202957593279,-1.1813794926838466
490,30,4.83,5.17,0.1419066612969828,-1.250484002583999
495,30,4.82,5.18,0.1407338217908099,-1.3130071305889057
500,30,4.82,5.18,0.1396844390747605,-1.3689488766985576
520,30,4.8,5.2,0.1367214761117975,-1.5269020421846329
395,60,4.81,5.19,0.1900224287877074,1.314528749837248
400,60,4.82,5.18,0.1865039102691889,1.126959365822537
405,60,4.82,5.18,0.1831088485407938,0.945971363703076
410,60,4.83,5.17,0.1798372436025222,0.7715647434788714
415,60,4.84,5.16,0.176689095454374,0.6037395051499156
425,60,4.85,5.15,0.1707631695284481,0.2878331741777712
430,60,4.85,5.15,0.1679853917506703,0.13975208153457516
440,60,4.86,5.14,0.1628002065654852,-0.13666595806604825
445,60,4.87,5.13,0.1603927991580777,-0.26500290502348745
450,60,4.88,5.12,0.1581088485407938,-0.38675847008566605
455,60,4.87,5.13,0.1559483547136333,-0.5019326532525943
460,60,4.86,5.14,0.1539113176765963,-0.6105254545242679
465,60,4.86,5.14,0.1519977374296827,-0.7125368739006911
470,60,4.85,5.15,0.1502076139728926,-0.8079669113818596
475,60,4.85,5.15,0.1485409473062259,-0.8968155669677763
490,60,4.83,5.17,0.1442816880469666,-1.1238732423540099
495,60,4.82,5.18,0.1431088485407938,-1.1863963703589107
500,60,4.82,5.18,0.1420594658247444,-1.2423381164685627
505,60,4.81,5.19,0.1411335398988185,-1.29169848068296
510,60,4.81,5.19,0.140331070763016,-1.3344774630021052
520,60,4.8,5.2,0.1390965028617814,-1.4002912819546378
385,90,4.8,5.2,0.1992522583175494,1.8065635168454381
390,90,4.81,5.19,0.1954868262187839,1.6058313690402175
400,90,4.82,5.18,0.1883263323916234,1.2241112191155405
405,90,4.82,5.18,0.1849312706632284,1.0431232169960842
410,90,4.83,5.17,0.1816596657249568,0.8687165967718781
415,90,4.84,5.16,0.1785115175768086,0.7008913584429237
420,90,4.84,5.16,0.1754868262187839,0.5396475020092226
425,90,4.85,5.15,0.1725855916508827,0.38498502747077784
430,90,4.85,5.15,0.1698078138731049,0.23690393482758326
435,90,4.86,5.14,0.1671534928854506,0.09540422407964345
440,90,4.86,5.14,0.1646226286879197,-0.03951410477304606
445,90,4.87,5.13,0.1622152212805123,-0.16785105173047937
450,90,4.88,5.12,0.1599312706632284,-0.2896066167926579
460,90,4.86,5.14,0.1557337397990308,-0.5133736012312656
465,90,4.86,5.14,0.1538201595521173,-0.615385020607683
470,90,4.85,5.15,0.1520300360953271,-0.7108150580888574
475,90,4.85,5.15,0.1503633694286605,-0.7996637136747697
480,90,4.84,5.16,0.1488201595521172,-0.8819309873654376
485,90,4.84,5.16,0.1474004064656975,-0.9576168791608449
490,90,4.83,5.17,0.1461041101694012,-1.0267213890610019
495,90,4.82,5.18,0.1449312706632284,-1.089244517065904
500,90,4.82,5.18,0.143881887947179,-1.145186263175556
505,90,4.81,5.19,0.1429559620212531,-1.1945466273899517
515,90,4.8,5.2,0.1414744805397716,-1.2735232101329894
380,180,4.8,5.2,0.2072548142067455,2.2331733160491756
390,180,4.81,5.19,0.1996004932190912,1.8251276385434887
395,180,4.81,5.19,0.1959585179104492,1.6309768726335214
400,180,4.82,5.18,0.1924399993919307,1.4434074886188117
405,180,4.82,5.18,0.1890449376635356,1.2624194864993508
410,180,4.83,5.17,0.185773332725264,1.0880128662751447
415,180,4.84,5.16,0.1826251845771159,0.9201876279461949
420,180,4.84,5.16,0.1796004932190912,0.7589437715124938
425,180,4.85,5.15,0.17669925865119,0.604281296974049
430,180,4.85,5.15,0.1739214808734122,0.4562002043308544
435,180,4.86,5.14,0.1712671598857578,0.3147004935829102
440,180,4.86,5.14,0.168736295688227,0.17978216473022657
445,180,4.87,5.13,0.1663288882808196,0.05144521777279178
450,180,4.88,5.12,0.1640449376635356,-0.07031034728939271
455,180,4.87,5.13,0.1618844438363751,-0.185484530456321
460,180,4.86,5.14,0.1598474067993381,-0.2940773317279945
465,180,4.86,5.14,0.1579338265524245,-0.39608875110441777
470,180,4.85,5.15,0.1561437030956344,-0.4915187885855848
475,180,4.85,5.15,0.1544770364289678,-0.5803674441714985
480,180,4.84,5.16,0.1529338265524245,-0.6626347178621664
485,180,4.84,5.16,0.1515140734660048,-0.7383206096575737
490,180,4.83,5.17,0.1502177771697085,-0.8074251195577307
495,180,4.82,5.18,0.1490449376635357,-0.8699482475626329
500,180,4.82,5.18,0.1479955549474862,-0.9258899936722893
510,180,4.81,5.19,0.1462671598857579,-1.0180293402058276
520,180,4.8,5.2,0.1450325919845233,-1.0838431591583586
385,270,4.8,5.2,0.2065224530267508,2.194131732301669
395,270,4.81,5.19,0.1991150456193434,1.7992488185864872
400,270,4.82,5.18,0.1955965271008249,1.611679434571776
405,270,4.82,5.18,0.1922014653724298,1.4306914324523152
415,270,4.84,5.16,0.1857817122860101,1.0884595738991591
420,270,4.84,5.16,0.1827570209279854,0.9272157174654596
425,270,4.85,5.15,0.1798557863600842,0.7725532429270148
430,270,4.85,5.15,0.1770780085823064,0.6244721502838202
435,270,4.86,5.14,0.1744236875946521,0.4829724395358804
440,270,4.86,5.14,0.1718928233971212,0.34805411068319086
445,270,4.87,5.13,0.1694854159897137,0.21971716372575165
450,270,4.88,5.12,0.1672014653724298,0.09796159866357308
455,270,4.87,5.13,0.1650409715452693,-0.017212584503355187
470,270,4.85,5.15,0.1593002308045286,-0.3232468426326205
475,270,4.85,5.15,0.157633564137862,-0.41209549821853275
480,270,4.84,5.16,0.1560903542613187,-0.4943627719092007
490,270,4.83,5.17,0.1533743048786027,-0.6391531736047649
495,270,4.82,5.18,0.1522014653724299,-0.7016763016096671
500,270,4.82,5.18,0.1511520826563804,-0.757618047719325
505,270,4.81,5.19,0.1502261567304545,-0.8069784119337207
510,270,4.81,5.19,0.149423687594652,-0.8497573942528676
515,270,4.8,5.2,0.1487446752489731,-0.8859549946767523
520,270,4.8,5.2,0.1481891196934175,-0.9155712132053943
380,360,4.8,5.2,0.2130724178696666,2.543305074558521
385,360,4.8,5.2,0.2091835289807778,2.3359915448580546
390,360,4.81,5.19,0.2054180968820124,2.135259397052838
400,360,4.82,5.18,0.1982576030548519,1.7535392471281614
405,360,4.82,5.18,0.1948625413264568,1.5725512450087005
415,360,4.84,5.16,0.188442788240037,1.2303193864555386
420,360,4.84,5.16,0.1854180968820123,1.069075530021839
425,360,4.85,5.15,0.1825168623141111,0.9144130554833942
430,360,4.85,5.15,0.1797390845363333,0.7663319628401997
435,360,4.86,5.14,0.177084763548679,0.6248322520922599
440,360,4.86,5.14,0.1745538993511481,0.48991392323957034
450,360,4.88,5.12,0.1698625413264568,0.23982141121995848
455,360,4.87,5.13,0.1677020474992963,0.12464722805302872
465,360,4.86,5.14,0.1637514302153457,-0.08595699259506806
470,360,4.85,5.15,0.1619613067585555,-0.181387030076241
475,360,4.85,5.15,0.1602946400918889,-0.2702356856621533
480,360,4.84,5.16,0.1587514302153457,-0.3525029593528153
485,360,4.84,5.16,0.1573316771289259,-0.42818885114822847
495,360,4.82,5.18,0.1548625413264568,-0.5598164890532876
500,360,4.82,5.18,0.1538131586104074,-0.6157582351629396
505,360,4.81,5.19,0.1528872326844815,-0.6651185993773353
515,360,4.8,5.2,0.151405751203,-0.7440951821203728
520,360,4.8,5.2,0.1508501956474444,-0.7737114006490148
