Strike,DaysToMaturity,Bid,Ask,ImpliedVolatility
380,15,0.0,5.2,0.1972643008136068
385,15,4.8,5.2,0.1933754119247179
390,15,4.81,5.19,0.18960997982595248
395,15,0.0,5.19,0.1859680045173105
400,15,4.82,5.18,0.182449485998792
405,15,4.82,5.18,0.17905442427039692
410,15,4.83,5.17,0.17578281933212533
415,15,4.84,5.16,0.17263467118397716
420,15,4.84,5.16,0.16960997982595247
425,15,4.85,5.15,
430,15,4.85,5.15,0.16393096748027347
435,15,4.86,5.14,0.16127664649261914
440,15,4.86,5.14,0.1587457822950883
445,15,4.87,5.13,0.15633837488768085
450,15,4.88,5.12,0.15405442427039692
455,15,4.87,5.13,
460,15,4.86,5.14,0.1498568934061994
465,15,4.86,5.14,0.14794331315928583
470,15,4.85,5.15,
475,15,4.85,5.15,0.14448652303582904
480,15,4.84,5.16,0.1429433131592858
485,15,4.84,5.16,0.14152356007286607
490,15,4.83,5.17,0.14022726377656977
495,15,4.82,5.18,0.13905442427039694
500,15,4.82,5.18,0.13800504155434754
505,15,0.0,5.19,0.13707911562842162
510,15,4.81,5.19,0.13627664649261914
515,15,4.8,5.2,0.13559763414694015
520,15,4.8,5.2,0.13504207859138456
380,30,4.8,5.2,0.19894369833401981
385,30,4.8,5.2,0.19505480944513093
390,30,4.81,5.19,0.1912893773463655
395,30,4.81,5.19,0.1876474020377235
400,30,4.82,5.18,0.184128883519205
405,30,4.82,5.18,0.18073382179080993
410,30,4.83,5.17,0.17746221685253835
415,30,4.84,5.16,0.17431406870439017
420,30,4.84,5.16,0.17128937734636548
425,30,4.85,5.15,0.16838814277846426
430,30,4.85,5.15,0.1656103650006865
435,30,4.86,5.14,5.0
440,30,4.86,5.14,0.1604251798155013
445,30,4.87,5.13,0.15801777240809387
450,30,4.88,5.12,0.15573382179080994
455,30,4.87,5.13,5.0
460,30,4.86,5.14,
465,30,4.86,5.14,0.14962271067969884
470,30,4.85,5.15,0.1478325872229087
475,30,4.85,5.15,0.14616592055624206
480,30,4.84,5.16,5.0
485,30,4.84,5.16,0.14320295759327908
490,30,4.83,5.17,0.1419066612969828
495,30,4.82,5.18,0.14073382179080995
500,30,4.82,5.18,0.13968443907476055
505,30,0.0,5.19,5.0
510,30,4.81,5.19,
515,30,4.8,5.2,
520,30,4.8,5.2,0.13672147611179758
380,60,0.0,5.2,0.2013187250840037
385,60,0.0,5.2,0.1974298361951148
390,60,0.0,5.19,0.19366440409634939
395,60,4.81,5.19,0.1900224287877074
400,60,4.82,5.18,0.1865039102691889
405,60,4.82,5.18,0.18310884854079382
410,60,4.83,5.17,0.17983724360252223
415,60,4.84,5.16,0.17668909545437406
420,60,4.84,5.16,
425,60,4.85,5.15,0.17076316952844814
430,60,4.85,5.15,0.16798539175067037
435,60,4.86,5.14,
440,60,4.86,5.14,0.1628002065654852
445,60,4.87,5.13,0.16039279915807775
450,60,4.88,5.12,0.15810884854079382
455,60,4.87,5.13,0.15594835471363333
460,60,4.86,5.14,0.1539113176765963
465,60,4.86,5.14,0.15199773742968273
470,60,4.85,5.15,0.1502076139728926
475,60,4.85,5.15,0.14854094730622594
480,60,4.84,5.16,
485,60,4.84,5.16,
490,60,4.83,5.17,0.14428168804696667
495,60,4.82,5.18,0.14310884854079384
500,60,4.82,5.18,0.14205946582474444
505,60,4.81,5.19,0.14113353989881852
510,60,4.81,5.19,0.14033107076301604
515,60,0.0,5.2,0.13965205841733705
520,60,4.8,5.2,0.13909650286178146
380,90,0.0,5.2,0.20314114720643828
385,90,4.8,5.2,0.1992522583175494
390,90,4.81,5.19,0.19548682621878397
395,90,0.0,5.19,0.19184485091014197
400,90,4.82,5.18,0.18832633239162347
405,90,4.82,5.18,0.1849312706632284
410,90,4.83,5.17,0.18165966572495681
415,90,4.84,5.16,0.17851151757680864
420,90,4.84,5.16,0.17548682621878395
425,90,4.85,5.15,0.17258559165088272
430,90,4.85,5.15,0.16980781387310495
435,90,4.86,5.14,0.16715349288545062
440,90,4.86,5.14,0.16462262868791977
445,90,4.87,5.13,0.16221522128051233
450,90,4.88,5.12,0.1599312706632284
455,90,4.87,5.13,0.0
460,90,4.86,5.14,0.15573373979903088
465,90,4.86,5.14,0.1538201595521173
470,90,4.85,5.15,0.15203003609532717
475,90,4.85,5.15,0.15036336942866052
480,90,4.84,5.16,0.14882015955211728
485,90,4.84,5.16,0.14740040646569755
490,90,4.83,5.17,0.14610411016940125
495,90,4.82,5.18,0.14493127066322842
500,90,4.82,5.18,0.14388188794717902
505,90,4.81,5.19,0.1429559620212531
510,90,0.0,5.19,0.14215349288545062
515,90,4.8,5.2,0.14147448053977163
520,90,4.8,5.2,
380,180,4.8,5.2,0.20725481420674555
385,180,0.0,5.2,0.20336592531785666
390,180,4.81,5.19,0.19960049321909124
395,180,4.81,5.19,0.19595851791044924
400,180,4.82,5.18,0.19243999939193074
405,180,4.82,5.18,0.18904493766353567
410,180,4.83,5.17,0.18577333272526408
415,180,4.84,5.16,0.1826251845771159
420,180,4.84,5.16,0.17960049321909122
425,180,4.85,5.15,0.17669925865119
430,180,4.85,5.15,0.17392148087341222
435,180,4.86,5.14,0.17126715988575789
440,180,4.86,5.14,0.16873629568822704
445,180,4.87,5.13,0.1663288882808196
450,180,4.88,5.12,0.16404493766353567
455,180,4.87,5.13,0.16188444383637518
460,180,4.86,5.14,0.15984740679933815
465,180,4.86,5.14,0.15793382655242458
470,180,4.85,5.15,0.15614370309563444
475,180,4.85,5.15,0.1544770364289678
480,180,4.84,5.16,0.15293382655242455
485,180,4.84,5.16,0.15151407346600482
490,180,4.83,5.17,0.15021777716970852
495,180,4.82,5.18,0.1490449376635357
500,180,4.82,5.18,0.14799555494748629
505,180,4.81,5.19,0.0
510,180,4.81,5.19,0.1462671598857579
515,180,4.8,5.2,
520,180,4.8,5.2,0.1450325919845233
380,270,4.8,5.2,
385,270,4.8,5.2,0.20652245302675087
390,270,0.0,5.19,0.20275702092798542
395,270,4.81,5.19,0.19911504561934346
400,270,4.82,5.18,0.19559652710082492
405,270,4.82,5.18,0.19220146537242988
410,270,4.83,5.17,0.0
415,270,4.84,5.16,0.1857817122860101
420,270,4.84,5.16,0.1827570209279854
425,270,4.85,5.15,0.1798557863600842
430,270,4.85,5.15,0.17707800858230643
435,270,4.86,5.14,0.1744236875946521
440,270,4.86,5.14,0.17189282339712125
445,270,4.87,5.13,0.16948541598971378
450,270,4.88,5.12,0.16720146537242986
455,270,4.87,5.13,0.16504097154526937
460,270,4.86,5.14,0.0
465,270,4.86,5.14,
470,270,4.85,5.15,0.15930023080452865
